GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1004128,10442,Cedar Grove Landfill,GA,172 Roger Brown Drive,Barnesville,Lamar,30204,33.085973,-84.208563,Public,"Lamar County, GA",1984,2041,Open,"1,907,284",2022,No,,,180891-0,Candidate,,,,Unknown,Unknown,,,,,,
1007541,453,Chambers-Bolton Road,GA,"2236 Bolton Road, N.W.",Atlanta,Fulton,30318,33.8195,-84.4655,Private,WM,1991,2009,Closed,"1,177,087",2008,Yes,1.47,1.47,180386-0,Low Potential,Project #2,,,Unknown,Unknown,,,,,,
1007541,453,Chambers-Bolton Road,GA,"2236 Bolton Road, N.W.",Atlanta,Fulton,30318,33.8195,-84.4655,Private,WM,1991,2009,Closed,"1,177,087",2008,Yes,1.47,1.47,531-0,Shutdown,Project #1 (Combination Project),1/1/1993,1/1/2003,Direct,Direct Thermal,,,,0.33,,
,437,Cherokee County - Blalock Road Ph 3 & 4,GA,"Blalock Road
2 mi SE of Holly Springs",Canton,Cherokee,30114,34.15,-84.48,Unknown,Cherokee County - Blalock Road Ph 3 & 4,,1993,Closed,,,No,,,502-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007899,10400,"Chesser Island Road Landfill, Inc. MSWL",GA,Highway 121 S. (SR 23) at Chesser Island Road,Folkston,Charlton,31537,30.7079,-82.0811,Private,WM,1992,2061,Open,"21,482,339",2022,Yes,1.62,1.62,180878-0,Candidate,,,,Unknown,Unknown,,,,,,
,459,"City of Forsyth-Old Brent Road, Phase I&II",GA,Old Brent Road,Forsyth,Monroe,31209,33.015,-83.955,Public,"City of Forsyth, GA",1977,1995,Closed,"1,297,000",,No,,,524-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002340,2288,City of LaGrange Landfill,GA,2233 Greenville Road,LaGrange,Troup,30241,33.0463,-84.9532,Public,"City of LaGrange, GA",1985,2077,Open,"3,039,031",2022,Yes,0.296,0.296,180378-0,Shutdown,Project #1,10/3/2005,2/1/2017,Direct,Direct Thermal,,,,0.28,,
1002340,2288,City of LaGrange Landfill,GA,2233 Greenville Road,LaGrange,Troup,30241,33.0463,-84.9532,Public,"City of LaGrange, GA",1985,2077,Open,"3,039,031",2022,Yes,0.296,0.296,201358-0,Candidate,,,,Unknown,Unknown,Unknown,,,,,
1003374,10409,City of Thomasville MSWLF,GA,"88 Landfill Road
off Sunset Drive",Thomasville,Thomas,31757,30.805802,-83.91265,Public,"City of Thomasville, GA",1975,2085,Open,"3,883,896",2022,Yes,0.245,0.245,180887-0,Candidate,,,,Unknown,Unknown,,,,,,
1007290,10445,City of Tifton / Omega / Eldorado Road LF,GA,445 Mitchell Store Road,Tifton,Tift,31794,31.357773,-83.536981,Public,"City of Tifton, GA",1981,2028,Open,"1,766,459",2022,No,,,180894-0,Candidate,,,,Unknown,Unknown,,,,,,
1003854,446,Clayton County SR 3 Lovejoy Landfill,GA,11678 Hastings Bridge Road,Lovejoy,Clayton,30250,33.44,-84.307,Public,"Clayton County, GA",1983,2089,Open,"2,694,614",2022,Yes,0.355,0.258,511-0,Operational,Project #1,9/24/2012,,Electricity,Reciprocating Engine,,0.4,2,0.23,0.0202,0.0019
1003863,10520,Columbus Pine Grove MSWLF,GA,7900 Pine Grove Way,Columbus,Muscogee,31907,32.483999,-84.850799,Public,"Columbus Consolidated Government, GA",1999,2065,Open,"1,795,402",2022,No,,,180904-0,Planned,Project #1,6/30/2024,,Renewable Natural Gas,Other,Pipeline Injection,,,1.08,,
1003959,460,Columbus-Schatulga Road SLF,GA,"7160 Sacerdote Lane
Schatulga Road off SR 22",Columbus,Muscogee,31907,32.5015,-84.865,Public,"Columbus Consolidated Government, GA",1983,1998,Closed,"2,330,312",1998,Yes,0.366,0.366,180904-0,Planned,Project #1,6/30/2024,,Renewable Natural Gas,Other,Pipeline Injection,,,1.08,,
,1987,Coweta County Landfill,GA,,,Coweta,,,,Public,"Coweta County, GA",,1993,Closed,,,No,,,167072-0,Low Potential,,,,Unknown,Unknown,,,,,,
1009669,10406,Crisp County Landfill,GA,3354 U.S. Highway 41 S,Cordele,Crisp,31015,31.866967,-83.749031,Public,"Crisp County, GA",1973,2104,Open,"2,064,383",2022,No,,,180884-0,Candidate,,,,Unknown,Unknown,,,,,,
1003740,441,Deans Bridge Road MSWLF,GA,4330 Deans Bridge Road,Blythe,Richmond,30805,33.35257,-82.14324,Public,City of Augusta-Richmond County,1985,2151,Open,"10,559,988",2022,Yes,2.06,2.06,201747-0,Candidate,,,,Unknown,Unknown,,,,,,
1003740,441,Deans Bridge Road MSWLF,GA,4330 Deans Bridge Road,Blythe,Richmond,30805,33.35257,-82.14324,Public,City of Augusta-Richmond County,1985,2151,Open,"10,559,988",2022,Yes,2.06,2.06,506-0,Shutdown,Project #1,1/1/1997,12/31/2021,Direct,Direct Thermal,,,,0.96,,
1011663,20700,Decatur County Solid Waste Facility,GA,104 Mine Loop Road,Attapulgus,Decatur,39815,30.71,-84.405,Public,"Decatur County Board of Commissioners, GA",2006,2050,Open,"1,494,918",2022,No,,,200907-0,Candidate,,,,Unknown,Unknown,,,,,,
1003887,450,Dougherty County Fleming/Gaissert Road LF,GA,900 Gaissert Road,Albany,Dougherty,31705,31.532784,-84.028353,Public,"Dougherty County Solid Waste Department, GA",1983,2050,Open,"4,831,285",2022,Yes,0.555,0.221,515-0,Operational,Project #1,9/23/2011,,Electricity,Cogeneration,,0.59,1.9,0.334,0.0299,0.0029
,1980,Douglas County Landfill,GA,,,Douglas,,,,Public,"Douglas County, GA",,,Unknown,,,No,,,167065-0,Unknown,,,,Unknown,Unknown,,,,,,
1003710,10403,Eagle Point Landfill LLC,GA,8880 Old Federal Road,Ball Ground,Forsyth,30107,34.325556,-84.240833,Private,GFL Environmental USA Inc.,2002,2033,Open,"20,344,086",2022,Yes,8.519,8.519,180881-0,Candidate,,,,Unknown,Unknown,,,,,,
1001636,458,"Evergreen Landfill, Inc.",GA,2995 Wetherington Lane,Valdosta,Lowndes,31601,30.808,-83.3625,Private,WM,1992,2081,Open,"13,705,888",2022,Yes,3.452,1.28,523-0,Operational,Project #1,12/31/2013,,Electricity,Reciprocating Engine,,3.66,4.8,2.18,0.1852,0.0177
,2054,Fayette County Landfill,GA,,Fayetteville,Fayette,,,,Public,"Fayette County, GA",1990,1998,Closed,,1998,No,,,170805-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003440,11981,Fort Benning LF,GA,1st Division Road,Fort Benning,Chattahoochee,31905,32.385,-84.865,Public,United States Army,1965,1983,Closed,"3,100,549",1983,Shutdown,0.01,0.01,181078-0,Shutdown,Project #1,11/9/2011,12/31/2013,Electricity,Microturbine,,0.22,0.25,,,
1004667,20701,Fort Stewart Landfill,GA,,Fort Stewart,Liberty,31314,31.887204,-81.643534,Public,United States Government,1983,2044,Open,"689,347",2022,No,,,200908-0,Future Potential,,,,Unknown,Unknown,,,,,,
1007007,20797,Fulton County Merk Miles Road Landfill,GA,3225 Merk Road,College Park,Fulton,30349,33.668833,-84.570167,Public,"Fulton County, GA",1970,1994,Closed,"1,722,288",1994,Yes,0.323,0.323,201016-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003333,10407,Gordon County Redbone Ridges LF,GA,1224 Pleasant Hill Road Extension NE & Red Bone Ridge Road,Ranger,Gordon,30734,34.510557,-84.765811,Public,"Gordon County, GA",1995,2059,Open,"5,346,826",2022,No,,,180885-0,Planned,Project #1,12/31/2024,,Renewable Natural Gas,Other,Pipeline Injection,,,,,
1004256,1978,Grady Road Landfill,GA,316 Grady Road,Rockmart,Polk,30153,33.9968,-85.167,Public,"Polk County Board of Commissioners, GA",1994,2038,Open,"9,332,772",2022,Yes,3.579,3.579,167063-0,Candidate,,,,Unknown,Unknown,,,,,,
1006858,439,Gun Club Road landfill,GA,1401 Gun Club Road N.W.,Atlanta,Fulton,30318,33.795,-84.461,Public,"City of Atlanta, GA",1977,1997,Closed,"3,105,715",1997,Yes,0.095,0.095,504-0,Low Potential,,,,Unknown,Unknown,,,,,,
1011008,10441,Habersham County SR13 MSWL,GA,4900 Dicks Hill Parkway,Mt. Airy,Habersham,30563,34.555381,-83.45889,Public,"Habersham County, GA",1993,2037,Open,"767,792",2022,No,,,180890-0,Future Potential,,,,Unknown,Unknown,,,,,,
1004156,456,Hall County Allen Creek Landfill,GA,2665 Allen Creek Road,Gainesville,Hall,30507,34.2537,-83.776,Public,"Hall County, Public Works Department, GA",1985,1997,Closed,"1,152,218",,No,,,521-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003972,10408,Hall County Candler Road MSWLF,GA,1700 Oakbrook Drive Candler Road,Gainesville,Hall,30507,34.242574,-83.800764,Public,"Hall County, Public Works Department, GA",1997,2032,Open,"2,197,973",2022,No,,,180886-0,Candidate,,,,Unknown,Unknown,,,,,,
,1984,Heard County Landfill,GA,"off Frolona Road
5.6 miles NW",Franklin,Heard,30217,33.295,-85.144,Public,"Heard County, GA",,1993,Closed,,,No,,,167069-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004559,449,Hickory Ridge Landfill,GA,3330 Moreland Avenue,Conley,DeKalb,30288,33.662,-84.336,Private,"Republic Services, Inc.",1993,2008,Closed,"4,814,916",2008,Yes,2.184,1.884,514-0,Operational,Project #1,3/31/2012,,Electricity,Cogeneration,,3.7,,0.303,0.1872,0.0179
,10240,Highway 309 Landfill,GA,2773 Fowlstown Road,Bainbridge,Decatur,39819,30.83715,-84.56792,Public,"Decatur County Board of Commissioners, GA",1982,2006,Closed,"1,149,239",2006,Yes,,0.72,180849-0,Low Potential,,,,Unknown,Unknown,,,,,,
,11500,Jefferson County CR-138 MSWL,GA,1619 Mennonite Church Road,Louisville,Jefferson,30434,33.1018,-82.4164,Public,"Jefferson County, GA",1999,,Open,"89,919",2008,No,,,181008-0,Future Potential,,,,Unknown,Unknown,,,,,,
1006807,452,Key Road Landfill,GA,1500 Key Road S.E.,Atlanta,DeKalb,30316,33.698725,-84.339914,Public,"City of Atlanta, GA",1974,1995,Closed,"2,432,047",1995,Yes,0.129,0.129,517-0,Low Potential,,,,Unknown,Unknown,,,,,,
1012422,10443,Laurens County - Old Macon Road MSWL,GA,1645 Old Hawkinsville Road,Dublin,Laurens,31021,32.585913,-83.049101,Public,"Laurens County, GA",1997,2110,Open,"816,532",2022,No,,,180892-0,Future Potential,,,,Unknown,Unknown,,,,,,
,2157,Liberty County LF,GA,Limerick Road,Midway,Liberty,31320,31.843,-81.396,Public,"Liberty County SWA, GA",1986,1998,Closed,,,Yes,,,180228-0,Low Potential,,,,Unknown,Unknown,,,,,,
1006229,467,Live Oak LF,GA,1189 Henrico Road,Conley,DeKalb,30288,33.6706,-84.3428,Private,WM,1986,2004,Closed,"16,745,404",2004,Yes,1.923,0.035,532-0,Operational,Project #1,3/1/2009,,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,,,1.89,0.1853,0.0149
1011793,464,Macon Bibb Walker Road MSWL,GA,1011 Walker Swamp Road,Macon,Bibb,31201,32.7995,-83.6107,Public,"Macon-Bibb, GA",1971,2023,Closed,"4,430,127",2022,Yes,0.517,0.023,529-0,Shutdown,Project #1,1/1/1986,9/30/2008,Direct,Direct Thermal,,,,1.3,0.0000,0.0000
1011793,464,Macon Bibb Walker Road MSWL,GA,1011 Walker Swamp Road,Macon,Bibb,31201,32.7995,-83.6107,Public,"Macon-Bibb, GA",1971,2023,Closed,"4,430,127",2022,Yes,0.517,0.023,529-1,Shutdown,"Project #1, Expansion #1",1/1/1995,9/30/2008,Direct,Direct Thermal,,,,0.3,0.0000,0.0000
1011793,464,Macon Bibb Walker Road MSWL,GA,1011 Walker Swamp Road,Macon,Bibb,31201,32.7995,-83.6107,Public,"Macon-Bibb, GA",1971,2023,Closed,"4,430,127",2022,Yes,0.517,0.023,529-2,Shutdown,"Project #1, Expansion #2",1/1/2005,9/30/2008,Direct,Direct Thermal,,,,0.416,0.0000,0.0000
1011793,464,Macon Bibb Walker Road MSWL,GA,1011 Walker Swamp Road,Macon,Bibb,31201,32.7995,-83.6107,Public,"Macon-Bibb, GA",1971,2023,Closed,"4,430,127",2022,Yes,0.517,0.023,529-3,Shutdown,"Project #1, De-Expansion #1",10/1/2008,12/31/2008,Direct,Direct Thermal,,,,1.04,0.0000,0.0000
1011793,464,Macon Bibb Walker Road MSWL,GA,1011 Walker Swamp Road,Macon,Bibb,31201,32.7995,-83.6107,Public,"Macon-Bibb, GA",1971,2023,Closed,"4,430,127",2022,Yes,0.517,0.023,529-4,Operational,"Project  #1, De-Expansion #2",1/1/2009,,Direct,Direct Thermal,,,,0.74,0.0726,0.0064
,2154,Marble Top Road Landfill,GA,N. Marble Top Road,Chickamauga,Walker,30707,34.839431,-85.363464,Public,"Walker County, GA",1977,1998,Closed,"1,050,000",1998,No,,,180223-0,Low Potential,,,,Unknown,Unknown,,,,,,
,2161,Morgan Falls,GA,Morgan Falls Road,Dunwoody,Fulton,30350,33.9691,-84.375,Public,"Fulton County, GA",1955,1988,Closed,,,Yes,,,180232-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003335,10380,Murray County Landfill,GA,6585 Highway 411 S,Chatsworth,Murray,30705,34.68076,-84.73063,Public,"Murray County, GA",1988,2100,Open,"1,613,416",2022,No,,,180874-0,Candidate,,,,Unknown,Unknown,,,,,,
1006279,10444,Newton County Landfill,GA,205 Lower River Road,Covington,Newton,30016,33.551581,-83.895508,Public,"Newton County, GA",1987,2067,Open,"2,043,978",2022,Yes,0.022,0.022,180893-0,Candidate,,,,Unknown,Unknown,,,,,,
1002477,2268,Oak Grove Landfill,GA,"967 Carl Bethlehem Road
3 mi SW of Winder, off SR 324",Winder,Barrow,30680,33.9659,-83.7728,Private,"Republic Services, Inc.",1978,2029,Open,"23,352,862",2022,Yes,3.745,1.675,180358-0,Shutdown,Project #1,1/31/2009,2/28/2013,Renewable Natural Gas,Other,Pipeline Injection,,,3.456,,
1002477,2268,Oak Grove Landfill,GA,"967 Carl Bethlehem Road
3 mi SW of Winder, off SR 324",Winder,Barrow,30680,33.9659,-83.7728,Private,"Republic Services, Inc.",1978,2029,Open,"23,352,862",2022,Yes,3.745,1.675,200830-0,Operational,Project #2,7/22/2016,,Electricity,Reciprocating Engine,,3.77,6.5,2.07,0.1908,0.0182
1002863,462,Old Dixie Highway MSW Landfill,GA,4189 Old Dixie Highway S.E.,Dalton,Whitfield,30721,34.6516,-84.945,Public,"Dalton-Whitfield Regional Solid Waste Management Authority (DWRSWMA), GA",1980,2036,Open,"7,028,390",2022,Yes,0.559,0.392,527-0,Operational,Project #1,6/12/2008,,Direct,Boiler,,,,0.58,0.0569,0.0050
,1983,Paulding County Landfill,GA,"end of Grants Chapel Road
off Seven Hills Road",Dallas,Paulding,30132,34.02,-84.7995,Public,"Paulding County, GA",,,Unknown,,,No,,,167068-0,Unknown,,,,Unknown,Unknown,,,,,,
1006328,2303,Pine Bluff Landfill,GA,13809 East Cherokee Drive,Ball Ground,Cherokee,30107,34.273,-84.387,Private,WM,1990,2057,Open,"27,142,966",2022,Yes,8.675,8.675,180396-0,Shutdown,Project #1,2/23/2005,12/31/2011,Direct,Boiler,,,,2.304,,
1006328,2303,Pine Bluff Landfill,GA,13809 East Cherokee Drive,Ball Ground,Cherokee,30107,34.273,-84.387,Private,WM,1990,2057,Open,"27,142,966",2022,Yes,8.675,8.675,180396-1,Shutdown,"Project #1, Expansion #1",1/1/2007,12/31/2011,Direct,Boiler,,,,1.296,,
1006328,2303,Pine Bluff Landfill,GA,13809 East Cherokee Drive,Ball Ground,Cherokee,30107,34.273,-84.387,Private,WM,1990,2057,Open,"27,142,966",2022,Yes,8.675,8.675,180396-2,Shutdown,"Project #1, De-Expansion #1",1/1/2012,1/1/2013,Direct,Boiler,,,,0.66,,
1006328,2303,Pine Bluff Landfill,GA,13809 East Cherokee Drive,Ball Ground,Cherokee,30107,34.273,-84.387,Private,WM,1990,2057,Open,"27,142,966",2022,Yes,8.675,8.675,200999-0,Candidate,,,,Unknown,Unknown,,,,,,
1002478,2266,Pine Ridge Landfill,GA,105 Bailey Jester Road,Griffin,Butts,30223,33.240017,-84.118684,Private,"Republic Services, Inc.",1997,2041,Open,"25,610,923",2022,Yes,4.874,2.906,180356-0,Operational,Project #1,7/22/2016,,Electricity,Reciprocating Engine,,4.05,6.5,1.968,0.2049,0.0196
,1981,Polk County Landfill #1,GA,"Highway 278
~1 mile from Grady Road LF",Cedartown,Polk,30125,34.007,-85.165,Public,"Polk County Board of Commissioners, GA",1971,1994,Closed,,,No,,,167066-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007798,10180,R & B (Banks) Landfill,GA,610 Bennett Road,Homer,Banks,30547,34.35184,-83.42719,Private,WM,1988,2038,Open,"19,302,793",2022,Yes,3.139,3.139,180841-0,Candidate,,,,Unknown,Unknown,,,,,,
1004487,454,Richland Creek Road Landfill,GA,5691 South Richland Creek Road,Buford,Gwinnett,30518,34.127,-84.0353,Private,"Republic Services, Inc.",1989,2030,Open,"21,968,810",2022,Yes,5.795,2.401,519-0,Operational,Project #1,7/22/2016,,Electricity,Reciprocating Engine,,6.09,10.88,3.4,0.3082,0.0294
1005901,438,Roberts Road Landfill,GA,180 Roberts Road,Fayetteville,Fayette,30214,33.486,-84.442,Private,"Republic Services, Inc.",1976,1993,Closed,"4,214,375",,Yes,0.379,0.379,503-0,Shutdown,Project #1,10/16/2003,3/1/2012,Electricity,Reciprocating Engine,,1,,0.8,,
1005314,10402,Savannah-Dean Forest Road SL,GA,1327 Dean Forest Road,Savannah,Chatham,31405,32.078,-81.22,Public,"City of Savannah, GA",1984,2056,Open,"4,540,404",2022,No,,,180880-0,Candidate,,,,Unknown,Unknown,,,,,,
1005638,448,Seminole Road MSW Landfill,GA,4203 Clevemont Road,Ellenwood,DeKalb,30294,33.6552,-84.2525,Public,"DeKalb County Sanitation, GA",1977,2074,Open,"15,618,359",2022,Yes,2.264,1.295,181023-0,Shutdown,Project #2a,2/26/2013,12/31/2017,Renewable Natural Gas,Vehicle Fuel,Local Use,,,0.198,,
1005638,448,Seminole Road MSW Landfill,GA,4203 Clevemont Road,Ellenwood,DeKalb,30294,33.6552,-84.2525,Public,"DeKalb County Sanitation, GA",1977,2074,Open,"15,618,359",2022,Yes,2.264,1.295,200582-0,Shutdown,Project #2b,2/26/2013,12/31/2017,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,,,0,,
1005638,448,Seminole Road MSW Landfill,GA,4203 Clevemont Road,Ellenwood,DeKalb,30294,33.6552,-84.2525,Public,"DeKalb County Sanitation, GA",1977,2074,Open,"15,618,359",2022,Yes,2.264,1.295,513-0,Operational,Project #1,10/12/2006,6/1/2015,Electricity,Reciprocating Engine,,2.06,3.2,1.147,0.1042,0.0099
,466,Southern States-Bolton Road,GA,"2236 Bolton Road, N.W.",Atlanta,Fulton,30318,33.8184,-84.4655,Private,WM,1987,1993,Closed,"1,667,108",,Yes,1.368,1.368,531-0,Shutdown,Project #1 (Combination Project),1/1/1993,1/1/2003,Direct,Direct Thermal,,,,0.33,,
1003983,457,SR247 MSW Landfill,GA,2080 GA Hwy 247,Kathleen,Houston,31047,32.399561,-83.55573,Public,"Houston County Board of Commissioners, GA",1987,2227,Open,"4,120,888",2022,Yes,0.994,0.044,522-0,Operational,Project #1,1/11/2011,,Electricity,Reciprocating Engine,,1.72,3.2,0.953,0.0870,0.0083
1003569,444,Superior Landfill & Recycling Center,GA,3001 Little Neck Road,Savannah,Chatham,31419,32.025,-81.28,Private,WM,1991,2031,Open,"12,632,841",2022,Yes,3.177,0.121,509-0,Operational,Project #1,12/31/2009,,Electricity,Reciprocating Engine,,5.52,6.4,3.06,0.2793,0.0266
1007888,2279,Swift Creek Environmental Landfill,GA,4200 Davis Road,Macon,Bibb,31217,32.8235,-83.5176,Private,"Republic Services, Inc.",1980,2011,Closed,"4,438,313",2011,Yes,1.231,1.231,180369-0,Low Potential,,,,Unknown,Unknown,,,,,,
,10446,"Toombs County-S1898, PH 3 MSWLF",GA,2974 Lyons Center Road,Lyons,Toombs,30436,32.146467,-82.388566,Public,"Toombs County, GA",,,Open,,,Unknown,,,180895-0,Unknown,,,,Unknown,Unknown,,,,,,
1010392,20699,Turkey Run Landfill,GA,7144 Lone Oak Road,Hogansville,Meriwether,30230,33.163696,-84.848925,Private,WM,2010,2056,Open,"6,366,244",2022,Yes,3.078,3.078,200906-0,Candidate,,,,Unknown,Unknown,,,,,,
,440,U.S. 78 Phase I,GA,,Lexington,Oglethorpe,30648,,,Unknown,,1976,1994,Closed,"118,389",,No,,,505-0,Low Potential,,,,Unknown,Unknown,,,,,,
,10440,Union Hill Church Road MSWLF,GA,154 Union Hill Church Road S.W.,Gordon,Gordon,31031,32.954,-83.329,Public,"Baldwin County, GA",,2066,Open,,,Unknown,,,180889-0,Unknown,,,,Unknown,Unknown,,,,,,
1006025,1986,Walker Mountain Landfill,GA,433 Walker Mountain Road,Rome,Floyd,30161,34.19,-85.214799,Public,"Floyd County, GA; Rome City",1998,2035,Open,"2,333,902",2022,No,,,167071-0,Candidate,,,,Unknown,Unknown,,,,,,
,465,Watts Road LF,GA,1144 Field Road NW,Atlanta,Fulton,30318,33.7856,-84.4858,Private,"Republic Services, Inc.",1970,1987,Closed,"6,000,000",,Yes,2.3,,530-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007124,461,"WI Taylor County Disposal, LLC",GA,33 Stewart Road,Mauk,Taylor,31058,32.462263,-84.371526,Private,GFL Environmental USA Inc.,1989,2037,Open,"18,300,772",2022,Yes,2.472,1.301,526-0,Shutdown,Project #1,10/1/2003,12/31/2018,Electricity,Reciprocating Engine,,1.71,4,1,0.0000,0.0000
1007124,461,"WI Taylor County Disposal, LLC",GA,33 Stewart Road,Mauk,Taylor,31058,32.462263,-84.371526,Private,GFL Environmental USA Inc.,1989,2037,Open,"18,300,772",2022,Yes,2.472,1.301,526-1,Shutdown,"Project #1, Expansion #1",1/16/2012,12/31/2018,Electricity,Reciprocating Engine,,3.54,4,2.45,0.0000,0.0000
1007124,461,"WI Taylor County Disposal, LLC",GA,33 Stewart Road,Mauk,Taylor,31058,32.462263,-84.371526,Private,GFL Environmental USA Inc.,1989,2037,Open,"18,300,772",2022,Yes,2.472,1.301,526-2,Operational,"Project #1, De-Expansion #1",1/1/2019,,Electricity,Reciprocating Engine,,3.49,8,2.11,0.1766,0.0168
1003795,1937,WMI-Rolling Hills,GA,870 Sullivan Road at Lees Mill Road,College Park,Clayton,30349,33.6188,-84.4172,Private,WM,,1991,Closed,"1,000,000",,Yes,0.72,0.72,167011-0,Shutdown,Project #1,1/1/1999,1/1/1999,Direct,Direct Thermal,,,,1.152,,
1003711,10404,"Wolf Creek Landfill, LLC",GA,"911 Landfill Road
off Hwy 80 (Jeffersonville Road)",Dry Branch,Twiggs,31020,32.770535,-83.437873,Private,WM,1992,2064,Open,"7,727,092",2022,Yes,4.535,3.373,180882-0,Operational,Project #1,12/12/2011,,Electricity,Reciprocating Engine,,2.18,,1.16,0.1103,0.0105
1011026,20757,Layon Municipal Solid Waste Landfill,GU,1130 Chalan Layon,Inarajan,,96915,13.429707,144.649457,Public,Guam Solid Waste Authority,2011,2063,Open,"1,074,692",2022,No,,,200988-0,Candidate,,,,Unknown,Unknown,,,,,,
,11801,Ordot Landfill,GU,Dero Road,Ordot,,,13.439066,144.750611,Public,Government of Guam,1944,2011,Closed,"2,500,000",2009,Yes,,,181046-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005313,2079,Central Maui Landfill,HI,1 Pulehu Road,Puunene,Maui,96784,20.86,-156.419,Public,"Maui County, HI",1987,2039,Open,"6,564,409",2022,Yes,1.356,1.356,180135-0,Planned,Project #1,12/31/2024,,Electricity,Reciprocating Engine,,,3.2,,,
,2080,Hana Landfill,HI,Waikaloa Street,Hana,Maui,96713,20.76778,-155.98859,Public,"Maui County, HI",1969,2079,Open,"124,500",2008,No,,,180136-0,Future Potential,,,,Unknown,Unknown,,,,,,
,2299,Kailua Landfill,HI,,Kealakehe,Hawaii,,,,Public,"Hawaii County, HI",1975,1993,Closed,"500,000",,No,,,180393-0,Low Potential,,,,Unknown,Unknown,,,,,,
,11321,Kalamaula Landfill,HI,Maunaloa Highway,Naiwa,Maui,96748,21.10096,-157.05001,Public,"Maui County, HI",1970,1993,Closed,"81,625",1993,No,,,180990-0,Low Potential,,,,Unknown,Unknown,,,,,,
,2088,Kaneohe Marine Corps Air Station Landfill,HI,MCBH Kaneohe Bay,Kaneohe Bay,Honolulu,96863,21.448,-157.731,Public,United States Marine Corps,1978,2024,Open,,,No,,,180144-0,Unknown,,,,Unknown,Unknown,,,,,,
,1777,Kapaa,HI,Kapaa Quarry Road,Kailua,Honolulu,96734,21.4,-157.767,Public,"City and County of Honolulu, HI",1955,,Closed,"4,500,000",2000,Unknown,,,180391-0,Low Potential,,,,Unknown,Unknown,,,,,,
1001595,2297,Kapaa and Kalaheo Sanitary Landfills,HI,"Kapaa Quarry Road
913 Kalanianaole Highway",Kailua,Honolulu,96734,21.401025,-157.77503,Public,"City and County of Honolulu, HI",1970,1995,Closed,"5,838,786",1995,Yes,0.31,0.31,101814-0,Shutdown,Project #1,1/1/1990,1/1/2000,Electricity,Cogeneration,,3.3,3.33,2.5,,
1000216,2081,Kekaha Landfill/Phases I & II,HI,6900-D Kaumualii Highway,Kekaha,Kauai,96752,22.03452,-159.73029,Public,"County of Kauai, HI",1953,2027,Open,"3,113,967",2022,Yes,0.642,0.642,180137-0,Candidate,,,,Unknown,Unknown,Unknown,,,,,
,2083,Lanai Landfill,HI,"Kaumalapau Highway (Hwy 440)
4 mi W of Lanai City",Lanai City,Maui,96763,20.794,-156.967,Public,"Maui County, HI",1969,2029,Open,"182,910",2008,No,,,180139-0,Future Potential,,,,Unknown,Unknown,,,,,,
,2084,Naiwa Landfill,HI,Maunaloa Highway,Kaunakakai,Maui,96748,21.118,-157.062,Public,"Maui County, HI",1993,,Open,"90,800",2008,No,,,180140-0,Future Potential,,,,Unknown,Unknown,,,,,,
,11300,Olowalu Landfill,HI,Honoapiilani Highway,Lahaina,Maui,96761,20.83019,-156.62902,Public,"Maui County, HI",1967,1992,Closed,"259,700",1992,No,,,180988-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004803,20793,Palailai Landfill,HI,91-402 Farrington Highway,Kapolei,Honolulu,96707,21.338,-158.088,Private,Grace Pacific Company,1974,1988,Closed,"2,845,215",1988,Yes,0.07,0.07,201024-0,Low Potential,,,,Unknown,Unknown,,,,,,
1012851,2087,South Hilo Sanitary Landfill (SHSL),HI,"Leilani Street
1645 Ho'olaulima Road",Hilo,Hawaii,96720,19.698,-155.044,Public,"Hawaii County, HI",1969,2019,Closed,"3,193,059",2019,No,,,180143-0,Candidate,,,,Unknown,Unknown,,,,,,
1007708,2089,Waimanalo Gulch Landfill & Ash Monofill,HI,92-460 Farrington Highway,Kapolei,Honolulu,96707,21.344,-158.11279,Public,"City and County of Honolulu, HI",1989,2039,Open,"13,141,443",2022,Yes,1.121,1.121,180145-0,Candidate,,,,Unknown,Unknown,,,,,,
